,amount,term,age,education,gender,bad,month_num,gender2
166,1000,30,28,college,male,0,9,1
167,800,30,28,college,male,0,7,1
168,1000,15,35,High School or Below,male,0,5,1
169,1000,30,38,college,male,0,12,1
170,1000,15,38,High School or Below,male,0,12,1
171,1000,30,29,college,male,0,6,1
172,800,15,35,High School or Below,male,0,10,1
173,1000,30,24,college,male,0,2,1
174,800,15,39,High School or Below,male,0,1,1
175,800,15,25,college,male,0,7,1
176,1000,30,38,High School or Below,male,0,7,1
177,1000,30,30,college,male,0,8,1
178,1000,30,21,High School or Below,male,0,10,1
179,1000,30,46,college,male,0,10,1
180,1000,15,31,High School or Below,female,0,10,0
181,300,7,29,High School or Below,male,0,10,1
182,1000,30,35,High School or Below,male,0,4,1
183,800,15,30,High School or Below,male,0,2,1
184,1000,30,27,High School or Below,male,0,7,1
185,1000,30,31,High School or Below,female,0,7,0
186,1000,30,33,Bachelor,male,0,2,1
187,1000,15,34,High School or Below,male,0,10,1
188,800,15,28,college,male,0,4,1
189,800,15,42,college,male,0,6,1
190,1000,30,32,college,male,0,2,1
191,1000,30,30,High School or Below,male,0,3,1
192,1000,15,25,High School or Below,female,0,3,0
193,1000,30,27,High School or Below,female,0,8,0
194,800,15,21,college,male,0,8,1
195,1000,30,24,college,male,0,12,1
196,1000,30,29,college,male,0,11,1
197,1000,15,40,college,male,0,8,1
198,1000,30,29,High School or Below,male,0,3,1
199,1000,30,29,college,male,0,7,1
200,1000,15,30,college,male,0,5,1
201,1000,30,26,High School or Below,female,0,3,0
202,1000,15,36,High School or Below,male,0,3,1
203,800,15,27,college,male,0,5,1
204,1000,30,20,college,male,0,8,1
205,1000,7,26,Bachelor,female,0,11,0
206,1000,30,26,college,male,0,4,1
207,1000,30,27,college,male,0,8,1
208,300,7,23,High School or Below,male,0,12,1
209,1000,30,39,High School or Below,male,0,12,1
210,1000,15,27,High School or Below,male,0,6,1
211,1000,30,30,High School or Below,male,0,6,1
212,1000,30,33,High School or Below,female,0,6,0
213,1000,30,27,High School or Below,male,0,1,1
214,1000,30,35,High School or Below,male,0,2,1
215,1000,30,29,college,female,0,1,0
216,1000,15,50,High School or Below,male,0,10,1
217,800,15,31,High School or Below,female,0,11,0
218,1000,15,31,High School or Below,male,0,2,1
219,1000,30,29,High School or Below,male,0,6,1
220,1000,15,35,college,male,0,7,1
221,1000,30,39,college,male,0,1,1
222,1000,30,29,college,male,0,12,1
223,1000,15,30,High School or Below,male,0,2,1
224,1000,30,33,Bachelor,male,0,7,1
225,1000,30,26,High School or Below,male,0,1,1
226,1000,15,25,High School or Below,male,0,9,1
227,800,15,37,Bachelor,male,0,5,1
228,800,15,26,High School or Below,male,0,2,1
229,800,15,26,college,male,0,1,1
230,1000,15,27,college,male,0,9,1
231,1000,7,34,college,female,0,11,0
232,1000,30,37,college,male,0,12,1
233,1000,30,36,High School or Below,male,0,3,1
234,800,15,33,High School or Below,male,0,3,1
235,1000,30,30,High School or Below,male,0,10,1
236,1000,30,30,college,male,0,1,1
237,800,15,36,High School or Below,male,0,8,1
238,1000,15,29,college,male,0,4,1
239,1000,15,36,High School or Below,male,0,2,1
240,1000,30,32,High School or Below,male,0,2,1
241,1000,15,29,High School or Below,female,0,7,0
242,800,15,36,Bachelor,male,0,5,1
243,800,15,30,High School or Below,female,0,2,0
244,1000,7,31,college,male,0,9,1
245,1000,30,19,High School or Below,female,0,6,0
246,800,15,26,college,male,0,7,1
247,800,15,34,High School or Below,male,0,1,1
248,1000,30,35,High School or Below,male,0,6,1
249,1000,15,35,Bachelor,female,0,11,0
250,800,15,38,college,male,0,7,1
251,1000,30,29,college,male,0,12,1
252,1000,30,28,High School or Below,male,0,1,1
253,500,7,22,High School or Below,male,0,5,1
254,1000,30,32,college,male,0,4,1
255,1000,30,31,college,male,0,9,1
256,800,15,28,college,male,0,10,1
257,1000,15,37,college,female,0,9,0
258,1000,7,25,college,male,0,6,1
259,1000,30,19,High School or Below,male,0,1,1
260,800,15,51,college,male,0,3,1
261,1000,15,29,High School or Below,male,0,1,1
262,800,30,23,college,female,0,3,0
263,1000,15,30,High School or Below,male,0,8,1
264,800,15,23,college,male,0,9,1
265,1000,15,34,Bachelor,female,0,11,0
266,800,15,31,Bachelor,female,0,10,0
267,1000,15,24,High School or Below,male,0,4,1
268,1000,30,42,High School or Below,male,0,4,1
269,800,30,40,college,female,0,8,0
270,1000,30,29,High School or Below,male,0,1,1
271,1000,30,32,college,female,0,12,0
272,1000,30,28,college,male,0,9,1
273,1000,30,35,High School or Below,male,0,11,1
274,1000,30,30,Bachelor,male,0,5,1
275,800,15,44,college,male,0,8,1
276,800,15,37,High School or Below,male,0,7,1
277,1000,30,31,college,male,0,12,1
278,800,15,36,college,male,0,1,1
279,800,30,31,college,male,0,2,1
280,800,15,42,High School or Below,male,0,6,1
281,1000,15,28,Bachelor,male,0,3,1
282,1000,30,30,college,male,0,12,1
283,1000,30,30,High School or Below,male,0,9,1
284,1000,15,24,Bachelor,male,0,8,1
285,1000,30,34,Bachelor,male,0,10,1
286,1000,30,29,college,male,0,3,1
287,1000,30,38,High School or Below,female,0,5,0
288,1000,30,34,Bachelor,male,0,5,1
289,800,15,28,High School or Below,male,0,4,1
290,1000,15,30,college,female,0,10,0
291,1000,30,41,High School or Below,male,0,2,1
292,1000,30,29,college,male,0,7,1
293,1000,30,37,High School or Below,male,0,5,1
294,1000,30,36,Bachelor,male,0,2,1
295,1000,30,30,college,female,0,12,0
296,800,15,27,college,male,0,4,1
297,1000,30,29,High School or Below,male,0,5,1
298,1000,30,40,High School or Below,male,0,5,1
299,1000,30,28,college,male,0,2,1
300,1000,15,29,college,male,1,9,1
301,1000,30,37,High School or Below,male,1,10,1
302,1000,30,33,High School or Below,male,1,6,1
303,800,15,27,college,male,1,11,1
304,800,15,24,Bachelor,male,1,1,1
305,1000,15,31,High School or Below,female,1,5,0
306,800,15,28,college,male,1,11,1
307,1000,30,40,High School or Below,male,1,4,1
308,1000,30,33,college,male,1,7,1
309,800,15,41,college,male,1,10,1
310,1000,30,30,college,male,1,5,1
311,800,15,26,High School or Below,female,1,7,0
312,1000,30,27,High School or Below,male,1,2,1
313,1000,30,20,High School or Below,male,1,11,1
314,1000,30,24,college,male,1,12,1
315,1000,15,26,High School or Below,male,1,7,1
316,1000,30,30,High School or Below,male,1,4,1
317,1000,15,29,High School or Below,male,1,5,1
318,1000,30,22,Bachelor,male,1,11,1
319,1000,15,24,Bachelor,male,1,12,1
320,1000,30,25,college,male,1,5,1
321,1000,30,28,High School or Below,male,1,1,1
322,1000,30,37,college,male,1,11,1
323,800,15,32,college,male,1,12,1
324,1000,15,34,college,male,1,7,1
325,1000,30,28,Bachelor,male,1,9,1
326,800,15,35,Bachelor,male,1,8,1
327,1000,30,27,college,male,1,6,1
328,1000,30,24,High School or Below,female,1,4,0
329,1000,30,44,Bachelor,male,1,9,1
330,1000,15,31,college,male,1,12,1
331,800,15,27,college,male,1,4,1
332,1000,30,21,High School or Below,male,1,2,1
333,1000,30,30,High School or Below,female,1,4,0
334,1000,30,38,college,female,1,5,0
335,1000,30,34,High School or Below,male,1,1,1
336,1000,30,31,college,male,1,3,1
337,1000,30,23,High School or Below,male,1,10,1
338,1000,15,27,college,female,1,3,0
339,1000,15,39,High School or Below,male,1,6,1
340,1000,30,30,High School or Below,female,1,6,0
341,1000,30,25,college,male,1,12,1
342,1000,15,50,Master or Above,male,1,12,1
343,1000,30,23,High School or Below,male,1,7,1
344,800,15,38,Bachelor,male,1,9,1
345,1000,30,27,High School or Below,male,1,3,1
346,1000,30,31,High School or Below,male,1,10,1
347,800,15,40,college,male,1,8,1
348,1000,30,32,High School or Below,male,1,8,1
349,800,15,29,college,male,1,4,1
350,1000,30,26,High School or Below,male,1,10,1
351,1000,15,25,college,male,1,4,1
352,1000,30,35,High School or Below,male,1,6,1
353,1000,30,41,High School or Below,male,1,7,1
354,1000,30,37,High School or Below,male,1,12,1
355,1000,15,34,college,male,1,2,1
356,1000,30,45,High School or Below,male,1,7,1
357,1000,30,26,Bachelor,male,1,10,1
358,1000,30,32,college,male,1,12,1
359,1000,30,28,High School or Below,male,1,7,1
360,1000,30,34,college,male,1,10,1
361,800,15,29,High School or Below,male,1,6,1
362,1000,30,26,High School or Below,male,1,8,1
363,1000,15,26,college,male,1,11,1
364,800,15,22,college,male,1,2,1
365,1000,30,27,High School or Below,female,1,1,0
366,800,30,33,High School or Below,male,1,1,1
367,800,15,28,Bachelor,male,1,8,1
368,1000,30,24,college,male,1,5,1
369,1000,30,37,High School or Below,male,1,8,1
370,800,15,36,High School or Below,male,1,8,1
371,1000,30,18,college,male,1,10,1
372,800,15,25,High School or Below,male,1,4,1
373,1000,15,40,High School or Below,male,1,8,1
374,1000,30,29,college,male,1,10,1
375,800,15,26,High School or Below,female,1,12,0
376,1000,15,30,college,male,1,12,1
377,1000,30,33,college,male,1,10,1
378,1000,30,30,college,male,1,11,1
379,1000,30,32,college,male,1,5,1
380,1000,30,25,High School or Below,male,1,8,1
381,800,15,35,High School or Below,male,1,11,1
382,1000,15,30,Bachelor,male,1,12,1
383,1000,30,26,High School or Below,male,1,4,1
384,1000,30,29,High School or Below,male,1,1,1
385,1000,30,26,High School or Below,male,1,3,1
386,800,15,46,High School or Below,male,1,10,1
387,1000,30,36,High School or Below,male,1,7,1
388,1000,15,38,Bachelor,male,1,9,1
389,1000,15,32,High School or Below,male,1,6,1
390,1000,15,30,college,male,1,1,1
391,800,15,35,High School or Below,male,1,1,1
392,1000,30,29,college,female,1,7,0
393,1000,30,26,college,male,1,1,1
394,800,15,32,High School or Below,male,1,6,1
395,1000,30,25,High School or Below,male,1,8,1
396,1000,30,33,High School or Below,male,1,7,1
397,800,15,39,college,male,1,4,1
398,1000,30,28,college,male,1,11,1
399,1000,30,26,college,male,1,10,1
400,1000,30,26,college,male,1,12,1
401,1000,15,28,college,male,1,9,1
402,1000,30,39,college,male,1,3,1
403,1000,15,29,Bachelor,male,1,5,1
404,800,15,33,High School or Below,male,1,4,1
405,1000,30,27,college,male,1,1,1
406,800,15,34,college,male,1,6,1
407,1000,30,26,High School or Below,male,1,9,1
408,1000,30,28,High School or Below,male,1,11,1
409,1000,15,32,Bachelor,male,1,7,1
410,800,15,27,college,female,1,4,0
411,1000,30,21,college,male,1,3,1
412,800,15,39,college,male,1,6,1
413,1000,15,38,college,male,1,11,1
414,1000,30,36,High School or Below,female,1,3,0
415,800,15,33,college,male,1,3,1
416,1000,30,21,college,female,1,6,0
417,800,15,25,High School or Below,male,1,4,1
418,800,15,29,college,male,1,8,1
419,1000,30,33,High School or Below,male,1,10,1
420,1000,15,47,High School or Below,female,1,6,0
421,1000,30,33,college,male,1,11,1
422,800,15,23,High School or Below,male,1,12,1
423,1000,15,24,college,male,1,9,1
424,1000,30,27,High School or Below,male,1,7,1
425,1000,30,32,Bachelor,male,1,4,1
426,1000,30,33,college,male,1,6,1
427,1000,30,27,college,female,1,6,0
428,1000,30,35,High School or Below,male,1,8,1
429,500,15,37,Bachelor,male,1,2,1
430,800,15,28,Bachelor,male,1,1,1
431,1000,15,33,college,male,1,2,1
432,800,7,34,Bachelor,female,1,8,0
433,1000,30,29,college,male,1,7,1
434,1000,30,34,Bachelor,male,1,7,1
435,1000,30,29,Bachelor,male,1,8,1
436,1000,30,24,High School or Below,male,1,6,1
437,1000,30,34,High School or Below,male,1,6,1
438,1000,30,25,college,female,1,4,0
439,1000,30,24,college,male,1,6,1
440,1000,30,30,college,male,1,5,1
441,1000,15,28,college,male,1,4,1
442,1000,30,24,High School or Below,male,1,10,1
443,1000,30,26,college,female,1,7,0
444,1000,30,24,High School or Below,male,1,1,1
445,1000,15,29,college,male,1,6,1
446,1000,30,31,college,male,1,7,1
447,1000,30,26,college,male,1,2,1
448,1000,30,25,High School or Below,male,1,1,1
449,1000,30,29,college,male,1,9,1
450,1000,30,38,college,male,1,10,1
451,800,15,41,college,male,1,8,1
452,1000,15,26,High School or Below,male,1,5,1
453,1000,30,26,High School or Below,male,1,7,1
454,1000,30,35,High School or Below,male,1,9,1
455,1000,15,37,college,male,1,9,1
456,1000,30,25,college,male,1,2,1
457,1000,30,24,college,male,1,10,1
458,1000,30,34,college,male,1,6,1
459,800,15,33,college,male,1,7,1
460,800,15,38,Bachelor,male,1,5,1
461,1000,30,38,High School or Below,male,1,6,1
462,1000,30,26,college,male,1,6,1
463,1000,15,37,Bachelor,male,1,5,1
464,1000,30,42,High School or Below,female,1,4,0
465,1000,30,49,High School or Below,female,1,10,0
466,1000,30,26,High School or Below,male,1,10,1
467,1000,15,41,High School or Below,male,1,2,1
468,1000,30,38,High School or Below,male,1,6,1
469,1000,30,26,High School or Below,male,1,9,1
470,1000,15,32,High School or Below,male,1,9,1
471,1000,30,27,Bachelor,male,1,1,1
472,800,15,33,college,male,1,10,1
473,1000,30,30,High School or Below,male,1,7,1
474,800,15,26,High School or Below,female,1,2,0
475,1000,30,35,college,female,1,7,0
476,800,15,46,college,female,1,3,0
477,1000,30,27,college,male,1,12,1
478,1000,15,22,High School or Below,male,1,3,1
479,1000,30,27,Bachelor,male,1,8,1
480,1000,15,30,Bachelor,male,1,10,1
481,1000,15,27,High School or Below,male,1,12,1
482,800,15,47,college,male,1,9,1
483,1000,30,30,college,male,1,2,1
484,1000,30,26,college,male,1,2,1
485,1000,30,38,High School or Below,male,1,9,1
486,800,15,46,High School or Below,male,1,3,1
487,1000,30,35,Bachelor,male,1,10,1
488,1000,15,45,college,male,1,4,1
489,1000,30,36,college,male,1,11,1
490,1000,30,38,High School or Below,male,1,8,1
491,1000,30,27,college,male,1,2,1
492,1000,30,27,Bachelor,male,1,9,1
493,1000,15,29,college,male,1,2,1
494,1000,30,30,High School or Below,male,1,9,1
495,1000,30,28,High School or Below,male,1,12,1
496,1000,15,26,High School or Below,male,1,7,1
497,800,15,30,college,male,1,6,1
498,1000,30,38,college,female,1,3,0
499,1000,30,28,High School or Below,male,1,3,1
